listing available az cli extensions ...
Name                            Version    Summary                                                                                                                                                                          Preview    Experimental    Installed
------------------------------  ---------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------  --------------  ------------------------
account                         0.2.1      Microsoft Azure Command-Line Tools SubscriptionClient Extension                                                                                                                  False      True            False
aem                             0.1.1      Manage Azure Enhanced Monitoring Extensions for SAP                                                                                                                              False      False           False
ai-examples                     0.2.4      Add AI powered examples to help content.                                                                                                                                         True       False           False
aks-preview                     0.4.64     Provides a preview for upcoming AKS features                                                                                                                                     True       False           False
alertsmanagement                0.1.0      Microsoft Azure Command-Line Tools Alerts Extension                                                                                                                              False      True            False
alias                           0.5.2      Support for command aliases                                                                                                                                                      True       False           False
application-insights            0.1.11     Support for managing Application Insights components and querying metrics, events, and logs from such components.                                                                True       False           False
attestation                     0.1.0      Microsoft Azure Command-Line Tools AttestationManagementClient Extension                                                                                                         False      True            False
azure-batch-cli-extensions      6.0.0      Additional commands for working with Azure Batch service                                                                                                                         False      False           False
azure-cli-iot-ext               0.8.10     Deprecated: please remove 'azure-cli-iot-ext' and install the 'azure-iot' extension instead. The legacy extension 'azure-cli-iot-ext' is scheduled for removal after 9/15/2020.  False      False           False
azure-cli-ml                    1.16.0     Microsoft Azure Command-Line Tools AzureML Command Module                                                                                                                        False      False           False
azure-devops                    0.18.0     Tools for managing Azure DevOps.                                                                                                                                                 False      False           False
azure-firewall                  0.6.2      Manage Azure Firewall resources.                                                                                                                                                 True       False           False
azure-iot                       0.10.3     The Azure IoT extension for Azure CLI.                                                                                                                                           False      False           True (upgrade available)
baremetal-infrastructure        0.0.1      Additional commands for working with BareMetal instances.                                                                                                                        False      False           False
blockchain                      0.1.0      Microsoft Azure Command-Line Tools BlockchainManagementClient Extension                                                                                                          False      True            False
blueprint                       0.1.1      Microsoft Azure Command-Line Tools Blueprint Extension                                                                                                                           False      True            False
codespaces                      0.3.0      The Azure CLI Codespaces extension                                                                                                                                               True       False           False
connectedk8s                    0.2.7      Microsoft Azure Command-Line Tools Connectedk8s Extension                                                                                                                        True       False           False
